Name,Address,Latitude,Longitude,Rating,Total Ratings,Place ID,Types,geometry,neighbourhood,neighbourhood_group,Popularity,Normalized Popularity
A Bronx Tale Street,"648 E 187th St, Bronx, NY 10458, United States",40.854865,-73.8861895,4.9,9.0,ChIJE_sg1YD0wokRtSkNmgX-3Gc,"tourist_attraction, point_of_interest, establishment",POINT (-73.8861895 40.854865),Belmont,Bronx,4.108629750668347,0.30664394863393
New York Botanical Garden,"2900 Southern Blvd, Bronx, NY 10458, United States",40.8622871,-73.8773946,4.7,11982.0,ChIJyRUHuHzzwokRPxVBNKhcP9c,"tourist_attraction, park, museum, point_of_interest, establishment",POINT (-73.8773946 40.8622871),,,4.681152881956594,0.781330826868106
Wave Hill Public Garden & Cultural Center,"4900 Independence Ave, Bronx, NY 10471, United States",40.8978516,-73.91144489999999,4.8,1807.0,ChIJC21UnrXzwokRn8wMoHqA8tw,"tourist_attraction, art_gallery, park, point_of_interest, establishment",POINT (-73.91144489999999 40.8978516),Riverdale,Bronx,4.676096040434593,0.7771381293426759
Bronx River Forest,"402 E Gun Hill Rd, Bronx, NY 10467, United States",40.8678483,-73.8737953,4.7,3465.0,ChIJo0PzfW_zwokRtrQaDkHzcjg,"tourist_attraction, park, point_of_interest, establishment",POINT (-73.8737953 40.8678483),,,4.639426626595093,0.7467350091351442
Bronx Zoo,"2300 Southern Blvd, Bronx, NY 10460, United States",40.85014150000001,-73.87672169999999,4.6,34246.0,ChIJi9JqUYP0wokRLhCVlxy0bgU,"zoo, tourist_attraction, point_of_interest, establishment",POINT (-73.87672169999999 40.85014150000001),,,4.594373750505698,0.7093810439630728
The Van Cortlandt House Museum,"6036 Broadway, Van Cortlandt Park, Bronx, NY 10471, United States",40.8911186,-73.8948241,4.7,168.0,ChIJA6A1Da_zwokRDfZVDZogISM,"museum, tourist_attraction, point_of_interest, establishment",POINT (-73.8948241 40.8911186),,,4.276316786384225,0.4456755984560182
Bartow-Pell Mansion Museum,"895 Shore Rd, Bronx, NY 10464, United States",40.8717842,-73.8055573,4.6,294.0,ChIJR1FZFvKMwokREfxW5wz6zlo,"museum, tourist_attraction, point_of_interest, establishment",POINT (-73.8055573 40.8717842),,,4.311796201939828,0.4750920745619992
Van Cortlandt Park,"Broadway and Van, Cortlandt Park South, Bronx, NY 10471, United States",40.8971354,-73.8860942,4.6,8623.0,ChIJx17hjwHzwokRARFWlFCCzLI,"park, tourist_attraction, point_of_interest, establishment",POINT (-73.8860942 40.8971354),,,4.578364712105643,0.6961077279233288
Pelham Bay Park,"Middletown Road & Stadium Avenue, NY 10465, United States",40.8667516,-73.81011029999999,4.5,9363.0,ChIJ0yDZfqCMwokR4_gc794XRHA,"park, tourist_attraction, point_of_interest, establishment",POINT (-73.81011029999999 40.8667516),,,4.483927576450623,0.6178085873932502
The Bronx Museum of the Arts,"1040 Grand Concourse, Bronx, NY 10456, United States",40.8311761,-73.91970239999999,4.4,1283.0,ChIJDbNgaTH0wokRRQPTw1E93GY,"tourist_attraction, museum, point_of_interest, establishment",POINT (-73.91970239999999 40.8311761),Concourse Village,Bronx,4.328873412919714,0.4892510273203768
